All numbers from PTEP paper
https://academic.oup.com/ptep/article/2023/4/042F01/6835420?login=false
Pixel ID, Frequency [Hz], Bandwidth [dv/v], Popt [W], Psat [W], Tc [K], n
LF1, 40e9, 0.30, 0.358e-12, 0.895e-12, 0.171, 3
LF1, 60e9, 0.23, 0.300e-12, 0.750e-12, 0.171, 3
LF1, 78e9, 0.23, 0.303e-12, 0.758e-12, 0.171, 3
LF2, 50e9, 0.30, 0.386e-12, 0.965e-12, 0.171, 3
LF2, 68e9, 0.23, 0.302e-12, 0.755e-12, 0.171, 3
LF2, 89e9, 0.23, 0.311e-12, 0.778e-12, 0.171, 3
LF3, 68e9, 0.23, 0.367e-12, 0.918e-12, 0.171, 3
LF3, 89e9, 0.23, 0.363e-12, 0.908e-12, 0.171, 3
LF3, 119e9, 0.30, 0.449e-12, 1.123e-12, 0.171, 3
LF4, 78e9, 0.23, 0.367e-12, 0.918e-12, 0.171, 3
LF4, 100e9, 0.23, 0.356e-12, 0.890e-12, 0.171, 3
LF4, 140e9, 0.30, 0.440e-12, 1.100e-12, 0.171, 3
MF1, 100e9, 0.23, 0.411e-12, 1.028e-12, 0.171, 3
MF1, 140e9, 0.30, 0.463e-12, 1.158e-12, 0.171, 3
MF1, 195e9, 0.30, 0.386e-12, 0.965e-12, 0.171, 3
MF2, 119e9, 0.30, 0.496e-12, 1.240e-12, 0.171, 3
MF2, 166e9, 0.30, 0.416e-12, 1.040e-12, 0.171, 3
HF1, 195e9, 0.30, 0.782e-12, 1.955e-12, 0.171, 3
HF1, 280e9, 0.30, 0.486e-12, 1.215e-12, 0.171, 3
HF2, 235e9, 0.30, 0.603e-12, 1.508e-12, 0.171, 3
HF2, 337e9, 0.30, 0.384e-12, 0.960e-12, 0.171, 3
HF3, 402e9, 0.23, 0.290e-12, 0.725e-12, 0.171, 3
